Submission Title,Submission Url,Plain Description,Video,Website,File Url,Desired Prizes,Built With,First Time,What Room Are You In?,What's Your Table Number?,Mlh Points,Mlh Hardware Lab,Mlh Software Lab,Submitter Screen Name,College/Universities Of Team Members,Additional Team Member Count,Team Member 1 Screen Name,...,
MLocation,https://hackcuv.devpost.com/submissions/113587-mlocation,"Inspiration

Our primary inspiration was the benefits this kind of technology could have on the general public. One benefit is for those who lose their technology very often. For example, the loss of a laptop or phone can be debilitating, especially in today's society. However, by using a network of interconnected nodes, we can find a registered device with ease.

What it does

Determines the precise location of a MAC address identified device by determining its distance from 3 or more locating devices (similar function to antennae).

How we built it

Using the monitor mode of network interfaces, we were able to determine the signal strength between devices in the area and an ""antenna"". After finding the strength for each device, we found the distance this signal strength correlated with. Using our triangulation algorithm, we were able to then pinpoint the exact location of the device, considering the placement of our ""antennae"". We then uploaded this data to our Google Cloud Platform (GCP) server and displayed the devices in a birds-eye view of the current room.

Challenges we ran into

Perhaps the biggest challenge we ran into was with our original idea. We originally planned to have a Raspberry Pi function as an antenna, decreasing the size and increasing the simplicity of our design. However, we learned much later that the WiFi adapters we planned on using would not support this kind of functionality and that we would have to scrap the idea for our own computers with much more supported internet cards.

What we learned

We learned that USB WiFi adapters are no substitute for the internal WiFi cards already enclosed within our other computers.

What's next for MLocation

We plan on using WiFi adapters that are supported with Raspberry Pis as well as implement other methods of determining a location (such as angle of arrival, time of arrival, and channel state information) in the future in order to fulfill our original vision.
",,,,"Dish Device Tracker, MLH: Best use of Google Cloud Platform, Best Hardware Hack, Big Data Analytics: Non-Obvious Web Traffic","python, gcp, easel.js, rssi",1,Main auditorium,33,Colorado School of Mines,,Google Cloud Platform,BenPerkins336,Colorado School of Mines,3,sumnerevans,nickjar99,jnunez101
Food Lord,https://hackcuv.devpost.com/submissions/113619-food-lord,"Inspiration

Have you ever thought about what are you really eating? Maybe no. Are you too lazy for counting calories and for monitoring if you exceed the limit? Maybe yes. Here is where Food Lord borns. An application that allows you to take a picture and automagically know what are you gonna eat!

What it does

Our web app allows you to estimate how many calories and which ingredients there are in the picture that you sent to the application. In order to do that, you only have to create an account and then take a picture or upload an image.

We know that this magic process could have bad results or ingredients that there aren't in the given image. In order to solve that, we've added a feature that allows you to add and remove ingredients to the processed image.

Finally, the app will save this data (known as a report) and they will be available to check in the user dashboard, where you can have a quick look about how you have been eating during the current week.

How we built it

Frontend and backend are very different components connected by API requests.

At frontend, we can see a React application that uses the library Grommet in order to use the UI components and integrated into a Docker compose.

In the other side of the application, we have the backend which is implemented with Python 3.6+. For creating the API that allows the communication between the two components, we have used Flask and OpenAPI (connected themselves with Connexion library), also integrated with Docker compose.

The core of the application, which allows us to estimate the calories and ingredients of a given image, has been possible thanks to RapidAPI. Food Lord is using these three APIs:


Imagga: this API allows us to use a Computer vision segmentation model for tagging all the objects that we get from the image. We also filter these tags using a threshold of 0.35 (35%).
Recipe: this API allows for getting all the ingredients from a huge database. This permits us to filter the results that we got from Imagga Image Recognition API.
Nutritionix: this API allows us to get all the information related to calories. Given a list of ingredients, we can get an estimation of how many calories have those ingredients.


This aggregation of APIs (called Food Lord API) has been deployed and exposed in the RapidAPI Marketplace, where you can test with an Internet-accessible image URL.

All this system is finally deployed in a Google Cloud VM and hosted in a free .tk domain.

Challenges we ran into

Since we have never used the kind of technology we needed to do a deep research in order to find the APIs to use with RapidAPI. Also we have found some problems when we were coding the fronted because we used a new library for us ��� Grommet components.

However, the most challenging part was deploying the web in Google Cloud Platform since a lot of ports of the Wi-Fi were blocked.

Accomplishments that we're proud of

We are proud of the project that we built. We have developed all the web app faster than we actually expected so we can take special care of a good UX experience and reach the objectives that we have.

What we learned

We learned a lot using the RapidAPI and discovering the huge amount of APIs that we have at our disposal. Also, regarding the front-end part, we learned a lot using Grommet, which is a React library.

What's next for Food Lord

There are a lot of enhancements and next steps that Food Lord could have. But, for example, could be interesting to share the meals and their estimations with the user dietist so he/she could help the user to be even healthier.
",,https://github.com/atsuky/foodlord,,"MLH: Best Domain Registered with Domain.com, MLH: Best use of Google Cloud Platform, RapidAPI Best OctoAPI Hack","python, react, rapidapi, openapi, flask, grommet, postgresql",0,Next to screen with the schedule,18,Universitat Polit̬cnica de Catalunya,,Google Cloud Platform,AlbertSuarez,"Universitat Politecnica de Catalunya, UPC",3,felixarpa,charliecb,andreugallofre
Twis(e)T,https://hackcuv.devpost.com/submissions/113634-twis-e-t,"Description

Twist can give us many information on how much time we spend in each of the tasks, that is the objective of this project to get data on the amount of time we spent discussing each aspect of a thread or of the overall thread. 
",,https://github.com/gmegh/TwiseT,,Twisted hackers,,1,Eldora,3,-,,,guillemmegias,Universitat politecnica,0,,,
Save Oppy,https://hackcuv.devpost.com/submissions/113639-save-oppy,"Inspiration

RIP Opportunity 2004-2019
For most people my age, the Opportunity Rover has been on Mars for the majority of our lives. Her death was met with public outcry.

What it does

The purpose of this website is to educate the public and show that opportunity has a second chance. 
",,http://saveoppy.com,,MLH: Best Domain Registered with Domain.com,"html, css, bootstrap",1,Main Lobby,1,CU Boulder,,,ellaho,University of Colorado at Boulder,0,,,
HackUwU,https://hackcuv.devpost.com/submissions/113649-hackuwu,"Inspiration uwu

What it does

How I built it

Challenges I ran into

Accomplishments that I'm proud of

What I learned

What's next for HackUwU
",,https://hackuwu.com,,"Best usage of Typeform APIs, MLH: Best Domain Registered with Domain.com, MLH: Best use of Google Cloud Platform, Best Beginner Hack",jekyll,1,main auditorium,1,CU Boulder,,,Dhwani,University of Colorado at Boulder,0,,,
CTFHero,https://hackcuv.devpost.com/submissions/113725-ctfhero,"CTFHero.com

Project for HackCU V by Sam Feig, Jay Hayward, and Mark Wilmes

We wanted to make a tool to help people learn about Cybersecurity Capture the Flag challenges and how to go about solving a few basic and fun ones! We also wanted to set up a way to host CTF competitions through the CU Cybersecurity Club and get more people involved in this amazing field. CTFHero creates a platform with a huge potential to help people who are just starting, as well as veterans,  learn and grow their skills in cybersecurity.

So go check it out! See what the hype is about and why cybersecurity is the next big thing!

We used Google Cloud to host the web server and manage the CTF sub-pages and a Domain.com domain to host the site. A Redis database houses the past challenges and the plan is to extend it to pull directly from ctftime.org for writeups from future competitions. We all improved our web development skills and learned more about Node.js and how it integrates inside a website. The plan is also to use the ""Compete"" section to run future CTFs for the CU Cybersecurity Club. 
",,http://www.ctfhero.com/,,"MLH: Best Domain Registered with Domain.com, Design, Build or Break Cyber Games for K-12 Education, MLH: Best use of Google Cloud Platform","html, javascript, css, google-cloud, domain.com, redis, node.js, python, ctfd",1,Copper Mountain (S124),9,University of Colorado Boulder,,Google Cloud Platform,SamFeig,University of Colorado at Boulder,1,mawiwillme,,
Enigma,https://hackcuv.devpost.com/submissions/113751-enigma,"Inspiration

We designed and developed a Mystery Game for K-12 Cybersecurity Education. We were inspired by CTF competitions.

What it does

It's a mystery game that tests the K-12 students' knowledge of cybersecurity. At each step, there are puzzles to be solved before they can go forward in the story. The puzzles include cryptography (encryption and decryption), asymmetry key cryptography (public key, private key), hashing, packet sniffing, reverse engineering, and social engineering, and analyzing the source code. 

Storyline

Hunter family have been disappeared for 3 years. Nobody knows where they are. Whoever has looked for them has disappeared too, because they couldn�۪t solve the enigma. 3 years after their disappearance, detective Schmidt from Nebraska agreed to work on the case voluntarily, not just because nobody had been able to solve the enigma, but because of the scary accounts told by other detectives. He finds clues in the house to find the lost rooms, until he gets to...

How we built it

Mahshab created the storyline. Mahshab and Ghazaleh created the graphics in Photoshop and Adobe Illustrator, from scratch. Ghazaleh, Sepideh and Maziyar worked on the Front End. Sepideh and Maziyar worked on the Backend and Cybersecurity questions.

Challenges we ran into

Dealing with flask; Animating page elements using Javascript; Connecting the story behind the pictures with the cybersecurity questions asked.

Accomplishments that we're proud of

Good story, good graphics, making it all work! 

What we learned

We learned it's a challenging task to design for K-12, or in general, for people not in your generation.
We learned animating the page elements with JavaScript. We were challenged by and learned how to deal with flask and use python in it. 

What's next for Enigma

Implementing the rest of story (which is so interesting, but 24 hours was too short for its implementation).
",,https://github.com/goodarzysepideh/enigma,,"Design, Build or Break Cyber Games for K-12 Education","flask, html5, css3, javascript, jquery, photoshop, adobe-illustrator, python, wireshark, gdb, objdump",1,Main auditorium,38,"University of Colorado Boulder, Front Range Community College",,,ghka9436,"University of Colorado at Boulder, Front Range Community College",3,SepidehGoodarzy,maziyarnazari,mahshabtajik
Firewall Fighter,https://hackcuv.devpost.com/submissions/113758-firewall-fighter,"Inspiration

The idea of teaching kids about cybersecurity at an early age got us thinking about when we first learned about anything related to cybersecurity. Among our earliest memories included learning about firewalls, but the way we were taught about it was both uninteresting and inaccurate in hindsight. The teacher would simply put an inaccurate diagram on the board and inform us that it ""blocked most of the traffic from our computers."" We felt that this model did not properly represent the amount of parsing and work a firewall must perform, and there must be a better way to teach students about this concept.

What it does

The player controls a small ball on screen with a leap motion. Traffic (red and green cubes) enter the top of the screen and exit through the bottom. The player must direct their ball into the red malicious cubes to prevent them from entering our network while allowing as many green cubes as possible to pass through. Sounds were added so that hitting a cube feels more like a real world action. The game also gets progressively harder as the game goes on as more cubes fall in the same time period.

How we built it

We used the leap motion detect and translate hand motions into an in-game action of moving a sphere around. The sphere is simply mapped to the movements of the palm of the right hand. This sphere is then used as the ""mouse"" on screen for the user. We then used simple unity c# scripts and objects to create the cubes that fall down the screen,  instructions, and a score.

Challenges we ran into

From the onset, we had a steep learning curve to learn C# and Unity which neither of us had used before. We managed to figure them both out pretty well, but we struggled to properly detect collisions between the hand object the leap automatically creates and other objects we create. In order to resolve this problem, we had to create a sphere that followed the hand around. Then, we could use this sphere to detect collisions with other objects. This made the coding much easier, but also made the controls easier too. The user does not have to see and try to comprehend a whole hand on the screen, they can simply just move one little ball around.

Accomplishments that we're proud of

We created a working prototype of the game we envisioned in the beginning.  We're also proud the game feels somewhat natural and fun to play.

What we learned

We taught ourselves how to use three new things (leap motion, Unity, c#).

What's next for Firewall Fighter

Our game could have a bit more explanation of the cyber-security principles.
",https://youtu.be/uPgnwJoaCoo,https://github.com/Moppit/HackCU.V.,,"Design, Build or Break Cyber Games for K-12 Education, Best Hardware Hack","leap-motion, c#, unity",1,Main auditorium,36,CU Boulder,Leap Motion,,LEL-15,University of Colorado at Boulder,1,Moppit,,
DebateMonkey,https://hackcuv.devpost.com/submissions/113779-debatemonkey,"Inspiration

I participated in debate in high school and still go back and judge tournaments and coach the students. I realized that the process of managing the tournament, most notably scheduling rounds, notifying competitors and maintaining results, was done in a very inefficient manner, mostly by hand. An online service does exist to provide this service, tabroom.com, but it does not have an extensive feature set, and its service is unreliable. Thats why we decided to make debate monkey, a tool to provide these service rapidly and reliably.

What it does

DebateMonkey is web service in which tournament officials can create tournaments so that students can join on their own accord. Once a tournament is created, any user with access can register for the tournament. DebateMonkey will automatically create matches and notify the students as to where their round is and who they are facing. It will also assign to judge to critique the round. Afterwards, the judge can enter their decision and comments to each team. After the judge submits this electronic ballot, DebateMonkey will automatically tabulate these matches to create finals qualifiers and overall placements. At the official's behest, the judges comments may be hidden or revealed to the competitors at whatever point. All of this functionality is available through the web interface or the app. If any students opt out of they app, they may also chose to receive notifications via SMS, using Twilio.

How I built it

The web frontend was built in ReactJS. The backend is a RESTful Django Framework, that manages a mySQL database to store all tournaments, users, and round results. The back end is responsible for tabulating the results and pushing notifications via Twilio or the App. The app was built using Flutter.

Challenges I ran into

Originally, we were a team of 4, but all of my team was forced to leave early in the HackCU tournament, leaving only me to work on the project. This resulted in this projected being far too large scale for a single person to handle. I decided to drop the app and focus mostly on the web interface. Also, I didn't have much time to focus on the styling and UX and had to focus on functionality leaving the site a little rough around the edges. The hardest technical challenges were serializing the many to many relationship with users and tournaments in the database using Django models and maintaining persistent login sessions utilizing authorization tokens. 

Accomplishments that I'm proud of

I managed to get a relatively functional site that encompasses the basic functionalities of my desired app while only having one person. The end product is still visually appealing and the UI is fairly intuitive. The Twilio API was successfully implemented and sends out a text message to a registered user.

What I learned

The technology I learned most about was Django and how to manage database models with it. I also learned how to implement the Twilio API, and also how to stay sane after 24 hours of coding alone.

What's next for DebateMonkey

Our next focus is going to be implementing the key elements that were missed, specifically ballot entry and judge enrollment. Some UI changes and overall bugfixes and I think debate monkey could be a viable product.
",,https://github.com/smmauck/DebateMonkey,,Coolest Hack with Twilio,"javascript, python, css, html",1,South ATrium,12,CU Boulder,,,dimohammed328,University of Colorado at Boulder,0,,,
LocationTracer,https://hackcuv.devpost.com/submissions/113786-locationtracer,"Inspiration

Inspired by true social incidents and happenings across the world. in many countries such as egypt, moroco,india we experience a constant backlash on women and children such as sexual assualt, even in the most crowded or desserted places. this may even happen to our friends or family. 
we cannot always depend on police and the government in these kind of emergencies as these countries are few of the most corrupted and insecure places in the world. 
but we believe we can always depend on the technology we have and the ability of using it to solve real world problems. and also we can depend on friends and family. 

we developed a hack where we can get to know the location of a missing beloved ones or who we think can be in danger as soon as possible with exact longitude and latitude even when there is no access of INTERNET connectivity.

What it does

This is an app which enables users to identify their beloved ones if they are out of reach. This application sends an SMS to the person whose location we want to know. Then the sms invokes an Android application and that application fetches the latitude and longitude of the user. Then it embeds that data in a Google Maps URL and send it back as an SMS to the user who requested it.

How we built it

We built the entire project on Android Studio using JAVA. We have also Android SQLite Database to store the preferences of the users. 

Challenges we ran into

Access Control is the first challenge we ran into. No user would ever like to reveal his data to an anonymous person. He would like to limit the number of people who can know his location at any point of time. So, maintaining that access control was the first hurdle.
Getting the latitude and longitude values not null is the second hurdle we passed. We used a loop and kept changing the sources of GPS location(both Internet and GPS device) and when ever we get a valid data, we exit the loop.

Accomplishments that we're proud of

The main thing that we are proud is the application has amazing accuracy. It can detect an average of 5cm motion in the mobile phone. This application survived many extreme test case conditions. This is the fastest way to retrieve a users location without flooding. 

What we learned

We learnt the implementation of BroadcastReceiver in Android and also considering the extreme conditions while developing a software application.

What's next for LocationTracer

We are looking forward to implement geofencing in it so that we can have a device with the kids and get to know if they crossed our neighborhood. We also have a designing the UI in a more enhanced manner.
",,https://github.com/hariharakumar7/locationtracer,,"Dish Device Tracker, Best Beginner Hack","java, android, xml, database",1,Main auditorium,22,Colorado State University,,,HariHaraKumar,"Colorado State University, Sri Venkateswara university",3,lizacool612,Subramaniam,rohitg17
cyber-security-escape-room,https://hackcuv.devpost.com/submissions/113794-cyber-security-escape-room,"Inspiration

We wanted to make a fun and engaging game that would help middle and high school students learn and practice with topics related to cyber-security. 

What it does

It allows the player to explore the different cyber-security concepts as they solve puzzles to exit the room. 

It takes place in a room with different intractable stations. Each station is a computer, safe, or something similar and must be navigated using a command line built into the game. The player practices using some linux commands and solves puzzles related to crytographic concepts. The player must use all the clues to figure out the final password and escape the room. 

How we built it

We used pygame to make the game.
We researched cybersecurity concepts and translated them into puzzles to engage the students playing our game

Challenges we ran into

Making a terminal in the game that accepts broad input
Lack of knowledge in cyber security topics

Accomplishments that we're proud of

Fleshing out an idea in 24 hours with a brand new team in a topic we were not too comfortable in

What we learned

How to convert educational topics into fun puzzles and other parts of our game
How to make a terminal
How to work with pygame

What's next for cyber-security-escape-room

We see our game as a draft for a platform that can be used to educate all skill levels in cyber-security. There is also a lot of room for customization and for creating an online level creation and sharing app.    
",,https://github.com/JazKarit/cyber-security-escape-room,,"Design, Build or Break Cyber Games for K-12 Education, Best Beginner Hack","python, pygame",1,Main auditorium,24,"CU Boulder; IOE, Pulchowk, Nepal",,,jaskritsingh,"University of Colorado at Boulder, Colorado State University",3,bhattaraisakshat07,NguyenDoHuy,SuphawitDuangphumek
